Comment
"Film incroyable, j'ai adoré l'intrigue !"
"Assez ennuyeux, je ne le recommande pas."
"C'était correct, rien de spécial."
"Absolument fantastique, je le regarderais encore !"
"Pas génial, l'intrigue était trop lente."
"J'ai vraiment apprécié, superbes performances."
"Film terrible, j'ai perdu mon temps."
"Juste moyen, ni bon ni mauvais."
"Brillant, un chef-d'œuvre !"
"Bof, j'ai vu mieux."
"Un film époustouflant avec une réalisation magnifique."
"Un vrai navet, à éviter à tout prix."
"Pas mal, mais pas exceptionnel non plus."
"Très divertissant, je le recommande vivement."
"Décevant, l'histoire n'a aucun sens."
"Un chef-d'œuvre absolu, tout simplement parfait."
"Je n'ai pas du tout aimé, très ennuyeux."
"Correct sans plus, quelques bonnes scènes."
"Un film à voir absolument, génial."
"Un désastre, je n'ai pas tenu jusqu'à la fin."
"Excellent, un des meilleurs films que j'ai vus."
"Médiocre, je m'attendais à mieux."
"Bon film, mais quelques longueurs."
"Superbe, une vraie réussite."
"Vraiment mauvais, je ne comprends pas les bonnes critiques."
"Un film qui m'a beaucoup touché, magnifique."
"Pas terrible, les acteurs jouent mal."
"Très bon film, bien réalisé."
"Nul, je ne le recommande pas du tout."
"C'était sympa, sans plus."
"Une perle rare, à ne pas manquer."
"Un film banal, rien de nouveau."
"Exceptionnel, j'ai adoré chaque minute."
"Mauvais, le scénario est prévisible."
"Très intéressant, je le conseille."
"Affreux, j'ai détesté."
"Un film agréable à regarder."
"Mauvaise réalisation, mauvais jeu d'acteur."
"Génial, je vais le revoir."
"Moyen, un film quelconque."
"Splendide, un pur chef-d'œuvre."
"Très décevant, je m'attendais à mieux."
"Fabuleux, un film à voir absolument."
"Assez ennuyeux, je me suis endormi."
"Un film intense et captivant."
"Terrible, à oublier rapidement."
"Excellent, une grande réussite."
"Moyennement bon, rien d'extraordinaire."
"Un film sublime, très émouvant."
"Très mauvais, je ne recommande pas."
